source_id,source_id_dr2,source_id_dr3,HD Number,GJ Number,HIP Number,RA,DEC,V_mag,Phot G Mean Mag,Phot BP Mean Mag,Phot RP Mean Mag,BP-RP,Parallax,Distance [pc],T_eff [K],Mass [M_Sun],Luminosity [L_Sun],Radius [R_Sun],HZ_limit [AU],Orbital Period [days],Yearly_Observable_nights,K_σ_RV_total [m/s],HZ Detection Limit [M_Earth],K_σ_photon [m/s],HZ Detection Limit (σ_photon) [M_Earth],σ_photon [m/s],σ_p-mode [m/s],σ_granulation [m/s],σ_supergranulation [m/s],"σ_RV,total [m/s]",Density [Solar unit],logg_gaia,log_rhk,activity_noise_floor [m/s],rhk_source,Gaia Spectral type,Object Type,Stellar Parameter Source,SIMBAD Spectral Type,Readable Spectral Type (experimental),HWO_match,LOPS2_match,TESS_confirmed_match,TESS_candidate_match,sum_score
Gaia DR3 5902750168276592256,5902750168276592256,5902750168276592256,HD 136352,GJ 582,75181,230.4397756821488,-48.31885569587278,5.482170104980469,5.482170104980469,5.811648845672607,4.974900245666504,0.8367486000061035,67.84669435693799,14.73911160268253,5620.91015625,0.9407906532287598,1.041317939758301,1.058155655860901,1.019914170416529,387.8307181888413,248,0.08019680714443063,0.878600373300006,0.03213494120661469,0.3520560524218593,0.1684633578614748,0.6495667644842249,0.3662718247419516,0.8821321424716072,0.4204216007259704,0.7940435480130158,4.350399971008301,-4.86883233682,2.03113280655811,HD_number_match,G,PM*,GAIA,G2-V,G2V,1,0,1,1,2.5
Gaia DR3 4758877919212831104,4758877919212831104,4758877919212831104,HD  40307,GJ 2046,27887,88.51720463376759,-60.023737219948,7.128657276215553,6.857923030853271,7.359889030456543,6.19348669052124,1.166402339935303,77.3261340611626,12.93223839703444,4893.0,0.7568047046661377,0.2594847083091736,0.7551746368408203,0.5238954232827856,159.1909072795752,247,0.07093861221204568,0.4995775309042947,0.04958283128370384,0.3491817453929674,0.2595579759848435,0.3445001106889329,0.2436085946658336,0.5867089877537495,0.371351980680133,1.757282713985637,,-5.25891545025,0.4572991062426492,HD_number_match,K,PM*,GAIA,K2.5V,K2.5V,0,1,1,0,2.0
Gaia DR3 6847167606385195648,6847167606385195648,6847167606385195648,HD 192310,GJ 785,99825,303.8286649315622,-27.03378080946467,5.706821329026222,5.481349945068359,5.935905933380127,4.855769157409668,1.080136775970459,113.4871798847664,8.811567976359871,4978.23486328125,0.8491770625114441,0.3890863358974457,0.791567862033844,0.6394719385425822,202.6638891372897,243,0.06070312558866367,0.5002958746816885,0.02602739290437365,0.2145095029704589,0.1351297144412363,0.3996198430450386,0.2635695266939169,0.6347830642898538,0.3151601106044019,1.712118400068753,4.498099803924561,-5.30569523093,0.3824246841384515,HD_number_match,K,PM*,GAIA,K2+V,K2V,1,0,1,0,2.0
Gaia DR3 2452378776434477184,2452378776434276992,2452378776434477184,HD  10700,GJ 71,8102,26.0090550571601,-15.93368020069386,3.571155598571301,3.300399780273438,3.799520492553711,2.748299360275269,1.051221132278442,273.8097451185997,3.652170961142577,5375.0,0.94,0.5592890977859497,0.8624101877212524,0.75489811463243,247.0653531719042,240,0.05866365582252737,0.5526920485468053,0.01208259347632981,0.1138345922455551,0.06233615741506805,0.4729758439147456,0.2747319961606474,0.6616668496121298,0.3026557908333471,1.465501336746929,,-4.99718092445,1.243596999180874,HD_number_match,F,PM*,,G8V,G8V,1,0,1,0,2.0
Gaia DR3 4847957293278177024,4847957293277762560,4847957293278177024,HD  20794,GJ 139,15510,50.00034361894219,-43.06655252783423,4.063914775848389,4.063914775848389,4.440890789031982,3.508292675018311,0.9325981140136719,165.5242095575573,6.041412326770681,5427.318359375,0.8859955668449402,0.6464073657989502,0.9096494913101196,0.8098666148207126,282.7793767360539,258,0.06379179225395153,0.6043566733466619,0.01500188402520207,0.1421262579880241,0.08024016609357423,0.5228162329040372,0.3118437924352149,0.7510472118109379,0.3412014115870294,1.17708901273669,4.443299770355225,-4.94625344122,1.510842828902312,HD_number_match,G,PM*,GAIA,G6V,G6V,1,0,1,0,2.0
Gaia DR3 5726982995343100928,5726982995343100928,5726982995343100928,HD  69830,GJ 302,40693,124.6010488393659,-12.63656179358332,5.755219459533691,5.755219459533691,6.13964319229126,5.203418254852295,0.9362249374389648,79.49527095617434,12.57936463354278,5361.130859375,0.8726522922515869,0.5972059965133667,0.8927627801895142,0.7804998286217814,269.5763966535758,252,0.06949006858492872,0.6414100473072432,0.03201871133557289,0.29554040700603,0.169260164895082,0.5036370066034681,0.3061969037380115,0.7374471975912469,0.3673445924785887,1.226402439950276,4.457499980926514,-5.01637100599,1.155644162951503,HD_number_match,G,PM*,GAIA,G8:V,G8,1,0,1,0,2.0
Gaia DR3 3507879565090229888,3507879565090229888,3507879565090229888,HD 115617,GJ 506,64924,199.596298132351,-18.31592210064546,4.532528400421143,4.532528400421143,4.904673099517822,4.006235122680664,0.8984379768371582,117.1726460991387,8.534415098502675,5915.33349609375,0.8966872692108154,0.8442274928092957,0.9962815642356873,0.907505712444671,333.4239652296034,257,0.07075726701975876,0.7138750951967255,0.02297250580672016,0.2317712435826581,0.122617053112345,0.6191806193416205,0.3372929604190433,0.8123392019701884,0.377670927204995,0.9067649445540078,,-4.93133796278,1.599480617912704,HD_number_match,G,PM*,GAIA,G6.5V,G6.5V,1,0,1,0,2.0
Gaia DR3 5381537023379295232,5381537023379295232,5381537023379295232,HD 102365,GJ 442 A,57443,176.6205205763661,-40.4985651456299,4.701675891876221,4.701675891876221,5.051711559295654,4.195355892181396,0.8563556671142578,107.3024338562276,9.319453101500756,5538.9296875,0.9267826676368713,0.8597099781036377,0.9857168197631836,0.9297919275716049,340.1206247910902,266,0.06944299393866812,0.7209684650104909,0.02088247715432956,0.2168052764670645,0.1133940386311838,0.5926520425280235,0.3403245721055139,0.8196405610469132,0.3770827320509624,0.9676569085447241,4.38670015335083,-4.88357510485,1.919841281797592,HD_number_match,F,PM*,GAIA,G2V,G2V,1,0,1,0,2.0
Gaia DR3 4657193606465368704,4657193606465368704,4657193606465368704,HD  39194,GJ 217.2,27080,86.12894471761606,-70.13806560262964,7.864647388458252,7.864647388458252,8.261411666870117,7.290993213653564,0.9704184532165527,37.82347285358811,26.43860874095106,5150.35107421875,0.8232289552688599,0.4006600081920624,0.8112871050834656,0.644633505619183,208.3302122012267,226,0.09886524539676084,0.8055015864502917,0.07981610910756139,0.6502993266482773,0.3996286590814774,0.4188987919421995,0.2712420988377655,0.6532617515552189,0.4950051548419291,1.541689511571491,4.508900165557861,-5.24130968,0.4891318367250553,HD_number_match,G,PM*,GAIA,K0V,K0V,0,1,1,0,2.0
Gaia DR3 6427244702486210816,6427244702486210816,6427244702486210816,HD 189567,GJ 776,98959,301.396266053525,-67.32389294266508,5.91546106338501,5.91546106338501,6.239302635192871,5.418190956115723,0.8211116790771484,55.76543555731051,17.93225480992242,5631.34033203125,0.9574586153030396,1.028560519218445,1.039301753044128,1.013220107758051,380.6615021342587,232,0.0847110444678768,0.933163917246546,0.04074491518928453,0.4488397576106999,0.2065997687265234,0.6414080669111804,0.3573527915240887,0.8606514678748324,0.4295329150727556,0.8528939462085641,4.353000164031982,-4.80647482789,2.577815232877307,HD_number_match,G,PM*,GAIA,G2V,G2V,1,0,1,0,2.0
